,0
0,transcript
1,mr
2,speaker
3,mr
4,president
5,members
6,of
7,the
8,congress
9,and
10,my
11,fellow
12,americans
13,for
14,the
15,sixth
16,and
17,the
18,last
19,time
20,i
21,present
22,to
23,the
24,congress
25,my
26,assessment
27,of
28,the
29,state
30,of
31,the
32,union
33,i
34,shall
35,speak
36,to
37,you
38,tonight
39,about
40,challenge
41,and
42,opportunity
43,and
44,about
45,the
46,commitments
47,that
48,all
49,of
50,us
51,have
52,made
53,together
54,that
55,will
56,if
57,we
58,carry
59,them
60,out
61,give
62,america
63,our
64,best
65,chance
66,to
67,achieve
68,the
69,kind
70,of
71,great
72,society
73,that
74,we
75,all
76,want
77,every
78,president
79,lives
80,not
81,only
82,with
83,what
84,is
85,but
86,with
87,what
88,has
89,been
90,and
91,what
92,could
93,be
94,most
95,of
96,the
97,great
98,events
99,in
100,his
101,presidency
102,are
103,part
104,of
105,a
106,larger
107,sequence
108,extending
109,back
110,through
111,several
112,years
113,and
114,extending
115,back
116,through
117,several
118,other
119,administrations
120,urban
121,unrest
122,poverty
123,pressures
124,on
125,welfare
126,education
127,of
128,our
129,people
130,law
131,enforcement
132,and
133,law
134,and
135,order
136,the
137,continuing
138,crisis
139,in
140,the
141,middle
142,east
143,the
144,conflict
145,in
146,vietnam
147,the
148,dangers
149,of
150,nuclear
151,war
152,the
153,great
154,difficulties
155,of
156,dealing
157,with
158,the
159,communist
160,powers
161,all
162,have
163,this
164,much
165,in
166,common
167,they
168,and
169,their
170,causes
171,the
172,causes
173,that
174,gave
175,rise
176,to
177,them
178,all
179,of
180,these
181,have
182,existed
183,with
184,us
185,for
186,many
187,years
188,several
189,presidents
190,have
191,already
192,sought
193,to
194,try
195,to
196,deal
197,with
198,them
199,one
200,or
201,more
202,presidents
203,will
204,try
205,to
206,resolve
207,them
208,or
209,try
210,to
211,contain
212,them
213,in
214,the
215,years
216,that
217,are
218,ahead
219,of
220,us
221,but
222,if
223,the
224,nation
225,s
226,problems
227,are
228,continuing
229,so
230,are
231,this
232,great
233,nation
234,s
235,assets
236,our
237,economy
238,the
239,democratic
240,system
241,our
242,sense
243,of
244,exploration
245,symbolized
246,most
247,recently
248,by
249,the
250,wonderful
251,flight
252,of
253,the
254,apollo
255,8
256,in
257,which
258,all
259,americans
260,took
261,great
262,pride
263,the
264,good
265,commonsense
266,and
267,sound
268,judgment
269,of
270,the
271,american
272,people
273,and
274,their
275,essential
276,love
277,of
278,justice
279,we
280,must
281,not
282,ignore
283,our
284,problems
285,but
286,neither
287,should
288,we
289,ignore
290,our
291,strengths
292,those
293,strengths
294,are
295,available
296,to
297,sustain
298,a
299,president
300,of
301,either
302,party
303,to
304,support
305,his
306,progressive
307,efforts
308,both
309,at
310,home
311,and
312,overseas
313,unfortunately
314,the
315,departure
316,of
317,an
318,administration
319,does
320,not
321,mean
322,the
323,end
324,of
325,the
326,problems
327,that
328,this
329,administration
330,has
331,faced
332,the
333,effort
334,to
335,meet
336,the
337,problems
338,must
339,go
340,on
341,year
342,after
343,year
344,if
345,the
346,momentum
347,that
348,we
349,have
350,all
351,mounted
352,together
353,in
354,these
355,past
356,years
357,is
358,not
359,to
360,be
361,lost
362,although
363,the
364,struggle
365,for
366,progressive
367,change
368,is
369,continuous
370,there
371,are
372,times
373,when
374,a
375,watershed
376,is
377,reached
378,when
379,there
380,is
381,if
382,not
383,really
384,a
385,break
386,with
387,the
388,past
389,at
390,least
391,the
392,fulfillment
393,of
394,many
395,of
396,its
397,oldest
398,hopes
399,and
400,a
401,stepping
402,forth
403,into
404,a
405,new
406,environment
407,to
408,seek
409,new
410,goals
411,i
412,think
413,the
414,past
415,5
416,years
417,have
418,been
419,such
420,a
421,time
422,we
423,have
424,finished
425,a
426,major
427,part
428,of
429,the
430,old
431,agenda
432,some
433,of
434,the
435,laws
436,that
437,we
438,wrote
439,have
440,already
441,in
442,front
443,of
444,our
445,eyes
446,taken
447,on
448,the
449,flesh
450,of
451,achievement
452,medicare
453,that
454,we
455,were
456,unable
457,to
458,pass
459,for
460,so
461,many
462,years
463,is
464,now
465,a
466,part
467,of
468,american
469,life
470,voting
471,rights
472,and
473,the
474,voting
475,booth
476,that
477,we
478,debated
479,so
480,long
481,back
482,in
483,the
484,riffles
485,and
486,the
487,doors
488,to
489,public
490,service
491,are
492,open
493,at
494,last
495,to
496,all
497,americans
498,regardless
499,of
500,their
501,color
502,schools
503,and
504,school
505,children
506,all
507,over
508,america
509,tonight
510,are
511,receiving
